player_id,player_name,team_id,team,position,height(in),weight(lbs),jersey_number,wingspan
2199,tyson chandler,1610612756,PHO,C,85,240,4,87.0
201571,dj augustin,1610612760,OKC,PG,72,183,14,75.5
201571,dj augustin,1610612743,DEN,PG,72,183,12,75.5
203530,joffrey lauvergne,1610612743,DEN,C,83,230,77,
203118,mike scott,1610612737,ATL,PF,80,237,32,82.75
202344,trevor booker,1610612762,UTA,PF,80,240,33,81.75
1626161,willie cauleystein,1610612758,SAC,C,84,244,00,87.0
2738,andre iguodala,1610612744,GSW,SF,78,207,9,83.0
202687,bismack biyombo,1610612761,TOR,C,81,245,8,
202714,shelvin mack,1610612737,ATL,PG,75,207,8,79.5
202714,shelvin mack,1610612762,UTA,PG,75,207,8,79.5
202734,etwaun moore,1610612741,CHI,SG,76,191,55,81.5
1626171,bobby portis,1610612741,CHI,PF,83,230,5,86.0
203093,terrence jones,1610612745,HOU,PF,81,252,6,86.25
2571,leandro barbosa,1610612744,GSW,SG,75,194,19,
202730,lavoy allen,1610612754,IND,PF,81,255,5,
101135,david lee,1610612738,BOS,PF,81,240,42,84.0
101135,david lee,1610612742,DAL,PF,81,240,42,84.0
1626170,jerian grant,1610612752,NYK,PG,77,203,13,79.5
101112,channing frye,1610612753,ORL,PF,83,245,8,86.5
101112,channing frye,1610612739,CLE,C,83,245,9,86.5
202388,donald sloan,1610612751,BRK,PG,75,205,15,
1891,jason terry,1610612745,HOU,SG,74,180,31,
1718,paul pierce,1610612746,LAC,SF,79,235,34,
202692,alec burks,1610612762,UTA,SG,78,202,10,82.0
101127,jarrett jack,1610612751,BRK,PG,75,197,2,79.5
2210,richard jefferson,1610612739,CLE,SF,79,230,24,84.0
203798,pj hairston,1610612766,CHA,SF,77,227,19,81.0
203798,pj hairston,1610612763,MEM,SF,77,227,19,81.0
203939,dwight powell,1610612742,DAL,PF,83,240,7,84.5
203089,john henson,1610612749,MIL,C,83,220,31,89.0
1713,vince carter,1610612763,MEM,SG,78,220,15,
201156,nick young,1610612747,LAL,SG,79,210,0,84.0
202390,gary neal,1610612764,WAS,SG,76,210,14,
203094,andrew nicholson,1610612753,ORL,PF,81,250,44,88.0
201229,anthony tolliver,1610612765,DET,PF,80,240,43,86.5
201627,anthony morrow,1610612760,OKC,SG,77,210,2,
201936,tyreke evans,1610612740,NOP,SG,78,220,1,83.25
101106,andrew bogut,1610612744,GSW,C,84,260,12,87.0
203960,jakarr sampson,1610612755,PHI,SF,81,214,9,
203960,jakarr sampson,1610612743,DEN,SF,81,214,9,
201951,ty lawson,1610612745,HOU,PG,71,195,3,72.75
201951,ty lawson,1610612754,IND,PG,71,195,10,72.75
203092,tyler zeller,1610612738,BOS,C,84,250,44,84.0
203900,markel brown,1610612751,BRK,SG,75,184,22,80.75
201582,alexis ajinca,1610612740,NOP,C,86,220,42,
201171,carl landry,1610612755,PHI,PF,81,248,7,83.0
203937,kyle anderson,1610612759,SAS,SF,80,233,1,86.75
1626204,larry nance jr,1610612747,LAL,PF,81,235,7,
203930,sean kilpatrick,1610612743,DEN,SG,76,210,6,79.0
203930,sean kilpatrick,1610612751,BRK,SG,76,210,6,79.0
2743,kris humphries,1610612764,WAS,PF,81,235,43,84.5
2743,kris humphries,1610612756,PHO,PF,81,235,43,84.5
2743,kris humphries,1610612737,ATL,PF,81,235,43,84.5
204060,joe ingles,1610612762,UTA,SF,80,216,2,82.25
1626196,josh richardson,1610612748,MIA,SG,78,200,0,
201150,spencer hawes,1610612766,CHA,PF,85,245,00,84.5
