quarter,moment_id,quarter_clock,shot_clock,ball_x,ball_y,ball_radius,player_1_id,player_1_team_id,player_1_x,player_1_y,player_2_id,player_2_team_id,player_2_x,player_2_y,player_3_id,player_3_team_id,player_3_x,player_3_y,player_4_id,player_4_team_id,player_4_x,player_4_y,player_5_id,player_5_team_id,player_5_x,player_5_y,player_6_id,player_6_team_id,player_6_x,player_6_y,player_7_id,player_7_team_id,player_7_x,player_7_y,player_8_id,player_8_team_id,player_8_x,player_8_y,player_9_id,player_9_team_id,player_9_x,player_9_y,player_10_id,player_10_team_id,player_10_x,player_10_y
1,1445991133500,697.55,19.99,83.74526999999999,22.45837,4.75455,2594,1610612737,78.33589,3.20178,200794,1610612737,53.151,26.25121,201143,1610612737,87.99946,19.93426,201952,1610612737,54.61156999999999,13.6231,203145,1610612737,58.80297,41.99175,101141,1610612765,83.82436,23.22953,202704,1610612765,69.64635,22.2894,202694,1610612765,74.34035,36.94013,203484.0,1610612765.0,79.92011,10.39659,203083.0,1610612765.0,79.12008,20.862920000000003
1,1445991133540,697.51,19.94,83.7764,22.21476,4.96161,2594,1610612737,78.60754,3.03438,200794,1610612737,53.41485,26.18706,201143,1610612737,88.52927,19.90853,201952,1610612737,55.02982,13.602429999999998,203145,1610612737,58.66019,41.9638,101141,1610612765,84.21875,23.18389,202704,1610612765,69.82183,22.28745,202694,1610612765,74.51713000000001,36.82087,203484.0,1610612765.0,80.02159,10.40618,203083.0,1610612765.0,79.58926,20.9144
1,1445991133580,697.47,19.9,84.20725999999999,22.27622,4.55355,2594,1610612737,78.87182,2.8839900000000003,200794,1610612737,53.65865,26.1208,201143,1610612737,88.93607,19.93907,201952,1610612737,55.43739,13.58161,203145,1610612737,58.50008,41.93286,101141,1610612765,84.62331999999999,23.15476,202704,1610612765,69.98957,22.28549,202694,1610612765,74.68616,36.6918,203484.0,1610612765.0,80.10276,10.40791,203083.0,1610612765.0,80.03612,20.94115
1,1445991133620,697.42,19.86,84.66962,22.2824,4.699330000000001,2594,1610612737,79.13354,2.74582,200794,1610612737,53.88786,26.06151,201143,1610612737,89.22391,20.02738,201952,1610612737,55.83135,13.56023,203145,1610612737,58.32714,41.89993,101141,1610612765,85.02059,23.13323,202704,1610612765,70.14075,22.27756,202694,1610612765,74.84521,36.55366,203484.0,1610612765.0,80.16823000000001,10.39972,203083.0,1610612765.0,80.45546999999999,20.9757
1,1445991133660,697.38,19.81,85.11499,22.28809,4.84511,2594,1610612737,79.38346,2.59998,200794,1610612737,54.10813,26.00749,201143,1610612737,89.40125,20.17589,201952,1610612737,56.19736999999999,13.543079999999998,203145,1610612737,58.14141,41.8448,101141,1610612765,85.40892,23.12464,202704,1610612765,70.28103,22.26789,202694,1610612765,75.00301999999999,36.40601,203484.0,1610612765.0,80.20900999999999,10.3972,203083.0,1610612765.0,80.85668000000001,21.00991
1,1445991133700,697.34,19.77,85.52863,22.35886,4.74635,2594,1610612737,79.62292,2.45717,200794,1610612737,54.32061,25.96825,201143,1610612737,89.56871,20.31408,201952,1610612737,56.5449,13.520920000000002,203145,1610612737,57.94348000000001,41.80368,101141,1610612765,85.78918,23.09094,202704,1610612765,70.41261999999999,22.25426,202694,1610612765,75.15414,36.2479,203484.0,1610612765.0,80.23331,10.38846,203083.0,1610612765.0,81.24391,21.03837
1,1445991133740,697.3,19.72,85.85217,22.42418,4.6476,2594,1610612737,79.86018,2.32876,200794,1610612737,54.52116,25.93585,201143,1610612737,89.70153,20.49128,201952,1610612737,56.87791,13.496570000000002,203145,1610612737,57.73617,41.752,101141,1610612765,86.16614,23.07679,202704,1610612765,70.53483,22.24294,202694,1610612765,75.30011,36.08553,203484.0,1610612765.0,80.23791999999999,10.38129,203083.0,1610612765.0,81.61711,21.06859
1,1445991133780,697.26,19.68,86.02539,22.34846,4.86452,2594,1610612737,80.08136999999999,2.2145200000000003,200794,1610612737,54.7061,25.91248,201143,1610612737,89.7863,20.67947,201952,1610612737,57.19761999999999,13.4777,203145,1610612737,57.51384,41.70184,101141,1610612765,86.51944,23.04977,202704,1610612765,70.64364,22.22379,202694,1610612765,75.44072,35.91981,203484.0,1610612765.0,80.22800000000001,10.37386,203083.0,1610612765.0,81.97574,21.1016
1,1445991133820,697.22,19.64,86.8499,22.68739,4.4612,2594,1610612737,80.29335,2.11336,200794,1610612737,54.87084,25.894920000000003,201143,1610612737,89.83723,20.86549,201952,1610612737,57.505930000000006,13.46139,203145,1610612737,57.25816,41.65897,101141,1610612765,86.86318,23.0235,202704,1610612765,70.74801,22.20327,202694,1610612765,75.56470999999999,35.751090000000005,203484.0,1610612765.0,80.20499000000001,10.3717,203083.0,1610612765.0,82.31304,21.12632
1,1445991133860,697.18,19.59,87.54258,23.02632,3.94142,2594,1610612737,80.48208000000001,2.03695,200794,1610612737,55.01458,25.87569,201143,1610612737,89.84266,21.02228,201952,1610612737,57.79807,13.44058,203145,1610612737,57.0063,41.61076,101141,1610612765,87.17966,22.97844,202704,1610612765,70.84222,22.1808,202694,1610612765,75.68862,35.586290000000005,203484.0,1610612765.0,80.16407,10.37099,203083.0,1610612765.0,82.63031,21.14092
